Time,1.14.1,1.14.23,1.33.1,3-1-2-16,3-1-8-14,3-1-8-16,3-11-2-11,5.10.2,col0,1.14.1-WT,1.14.23-WT,1.33.1-WT,3-1-2-16-WT,3-1-8-14-WT,3-1-8-16-WT,3-11-2-11-WT,5.10.2-WT
72,926.375,1045.458333,1080.8125,918.1836735,1108.729167,996.9375,886.5957447,1027.479167,787.4468085,138.9281915,258.0115248,293.3656915,130.736865,321.2823582,209.4906915,99.14893617,240.0323582
96,2383.122449,2477.354167,2442.5,1913.510638,2543,2525.413043,2153.44898,1970.979592,1273.541667,1109.580782,1203.8125,1168.958333,639.9689716,1269.458333,1251.871377,879.9073129,697.4379252
